dc.title[en_US],dc.date.issued[en_US],dc.publisher[en_US],dc.identifier.uri[],dc.title[en],dc.contributor.author,dc.contributor.author[],dc.identifier.uri,dc.publisher,dc.date.issued,dc.title[],dc.contributor.author[en_US],collection,dc.publisher[en],dc.date.issued[],id
,,,,,,"DeFraine, William",http://hdl.handle.net/1813/43726,,,An Examination Of Emotion In Social And Cognitive Processes,,1813/47,,2016-02-01,44889
,,,,,,"Mastandrea, William",http://hdl.handle.net/1813/43728,,,Cupellation At Kea: Investigating Potential Applications Of The Minoan Conical Cup,,1813/47,,2016-02-01,44891
,,,,,,"Yu, Wing-kei",http://hdl.handle.net/1813/43729,,,Hybrid Memories For Energy Efficient Computing Systems,,1813/47,,2016-02-01,44892
,,,,,,"Zhang, Xue",http://hdl.handle.net/1813/43732,,,The Role Of Local Economic Development Policies In The Promotion Of Sustainable Development,,1813/47,,2016-02-01,44895
,,,,,,"Shen, Yu",http://hdl.handle.net/1813/43735,,,"Chinese Labor Earnings, Economic Sectors, And Individual Characteristics From 2010 To 2012",,1813/47,,2016-02-01,44898
,,,,,,"Wenning, Brandon",http://hdl.handle.net/1813/44272,,,Synthesis And Study Of Functionalized Polydimethylsiloxane Block Copolymers: Control Of Surface Properties And Use In Antibiofouling Coatings,,1813/47,,2016-05-29,45448
,,,,,,"Chung, Chen-Yang",http://hdl.handle.net/1813/44274,,,High Mobility Of Sputtered In2Ga2Zno7 (Igzo) Thin Film Transistors (Tfts),,1813/47,,2016-05-29,45450
,,,,,,"Croteau, Chantal",http://hdl.handle.net/1813/44277,,,"Competing Modes Of Remembrance: Tsunami Commemoration In Takuapa, Thailand",,1813/47,,2016-05-29,45453
,,,,,,"Chick, Christina",http://hdl.handle.net/1813/44278,,,Emotion Regulation And Cognitive Representation Modulate Neural Activation To Risky Gains And Losses,,1813/47,,2016-05-29,45454
,,,,,,"Lee, Che Yu",http://hdl.handle.net/1813/44281,,,Effect Of Host Immunity And Co-Infection On Larval Toxocariasis,,1813/47,,2016-05-29,45457
,,,,,,"Roberts, Clifford",http://hdl.handle.net/1813/44283,,,In Observance Of The Everyday: The Concept Of Assent In Pyrrhonian Skepticism,,1813/47,,2016-05-29,45459
,,,,,,"Ponce, Colin",http://hdl.handle.net/1813/44287,,,Network-Structured Error Flattening For Power Grids And Other Real-World Networks,,1813/47,,2016-05-29,45463
,,,,,,"Morgan, Danielle",http://hdl.handle.net/1813/44289,,,What'S So Funny?: Satire And African American Literature And Culture In The Twenty-First Century,,1813/47,,2016-05-29,45465
,,,,,,"Huang, Derek",http://hdl.handle.net/1813/44291,,,Sticky-Probe Microrheology,,1813/47,,2016-05-29,45467
,,,,,,"Gunceler, Deniz",http://hdl.handle.net/1813/44292,,,Joint Density-Functional Theory For Energetics And Spectroscopy In Complex Aqueous And Nonaqueous Solvents,,1813/47,,2016-05-29,45468
,,,,,,"Mohapatra, Debi Prasad",http://hdl.handle.net/1813/44293,,,Drug Price Control Policy And Access To Malarial Drugs In India,,1813/47,,2016-05-29,45469
,,,,,,"Sedra, Daniel",http://hdl.handle.net/1813/44294,,,Training Paradigms For Deep Residual Networks,,1813/47,,2016-05-29,45470
,,,,,,"Deng, Danny",http://hdl.handle.net/1813/44299,,,Flexible And Efficient Accelerator Architecture For Runtime Monitoring,,1813/47,,2016-05-29,45475
,,,,,,"FitzGerald, Edward",http://hdl.handle.net/1813/44303,,,A Quantitative Analysis Of Stone Buildings And Assessment Of The Masonry Labor Market In New York State,,1813/47,,2016-05-29,45479
,,,,,,"George, Ellen",http://hdl.handle.net/1813/44305,,,"Cisco Spawning In Chaumont Bay, Lake Ontario",,1813/47,,2016-05-29,45481
,,,,,,"Mera, Hilda",http://hdl.handle.net/1813/44310,,,A Study On The Surface Chemistry Of Lead Chalcogenides Nanocrystals And Patchy Colloidal Particles,,1813/47,,2016-05-29,45486
,,,,,,"Lenz, Ian",http://hdl.handle.net/1813/44317,,,Deep Learning For Robotics,,1813/47,,2016-02-01,45493
,,,,,,"Leon, Jeffrey",http://hdl.handle.net/1813/44321,,,Beyond 'Counting Sheep': Isotopic Approaches To Minoan And Late Cypriot Shepherding,,1813/47,,2016-05-29,45497
,,,,,,"Fisher, Joanna",http://hdl.handle.net/1813/44322,,,"Ecoimmunology Of The Asian Longhorned Beetle, Anoplophora Glabripennis",,1813/47,,2016-05-29,45498
,,,,,,"Beckers, Koenraad",http://hdl.handle.net/1813/44328,,,"Low-Temperature Geothermal Energy: Systems Modeling, Reservoir Simulation, And Economic Analysis",,1813/47,,2016-05-29,45504
,,,,,,"Stutzman, Lauren",http://hdl.handle.net/1813/44338,,,"Monte Carlo Molecular Simulations To Determine The Isobaric Heat Capacity Of Co2, Methanol, And Their Mixtures Using Thermodynamic Fluctuations In The Isothermal-Isobaric Ensemble And The Grand Canonical Ensemble",,1813/47,,2016-05-29,45514
,,,,,,"Gannett, Maria",http://hdl.handle.net/1813/44341,,,Soil Amendments And Tillage Depth In Matted Row Strawberry Fields And Their Effects On Soil Health Indicator Tests And Yield,,1813/47,,2016-05-29,45517
,,,,,,"Carreras Gamarra, Maria",http://hdl.handle.net/1813/44344,,,A Comprehensive Analytical Approach For Achieving Successful Biodiversity Offsets In Latin America,,1813/47,,2016-05-29,45520
,,,,,,"Kim, Mun Sek",http://hdl.handle.net/1813/44348,,,Fabricating Multifunctional Coatings Using Layer-By-Layer Langmuir-Blodgett Processes,,1813/47,,2016-05-29,45524
,,,,,,"Hall, Matthew",http://hdl.handle.net/1813/44353,,,Single Cell Force Generation And Transmission Within Collagen Matrices,,1813/47,,2016-05-29,45529
,,,,,,"Streletskaya, Nadezhda",http://hdl.handle.net/1813/44354,,,"Consumer Food Preferences: Three Essays On Labeling, Anti-Obesity Policies And Social Presence",,1813/47,,2016-05-29,45530
,,,,,,"Zhelev, Nikolay",http://hdl.handle.net/1813/44359,,,Search For New Superfluid States Of 3He Confined In Coherence Length Sized Nanofabricated Structures,,1813/47,,2016-05-29,45535
,,,,,,"Miao, Qisiyu",http://hdl.handle.net/1813/44365,,,Memory Vs Momentum - Exploring Momentum Strategies With The Hurst Exponent,,1813/47,,2016-05-29,45541
,,,,,,"Ndayizigamiye, Richard",http://hdl.handle.net/1813/44372,,,"Race, Untimely Freedom, And The Question Of Leadership In Aimé CéSaire'S Theatre",,1813/47,,2016-05-29,45548
,,,,,,"Nurgozhayeva, Roza",http://hdl.handle.net/1813/44373,,,State Ownership In Terms Of Transition: Curse Or Blessing. The Cases Of Kazakhstan And China,,1813/47,,2016-05-29,45549
,,,,,,"Atluri, Sri Dithya",http://hdl.handle.net/1813/44375,,,A Study On Synthesis And Characterization Of Thin Polymer/Ceramic Hybrid Film Separators And Metal Oxide Coated Electrodes For Lithium Ion Batteries,,1813/47,,2016-05-29,45551
,,,,,,"Satyavolu, Saisandeep",http://hdl.handle.net/1813/44387,,,Bayesian Nonparametric Methods In Marketing,,1813/47,,2016-05-29,45563
,,,,,,"Song, Taejoon",http://hdl.handle.net/1813/44395,,,Prediction-Guided Performance-Energy Trade-Off With Continuous Run-Time Adaptation,,1813/47,,2016-05-29,45571
,,,,,,"Deng, Yan",http://hdl.handle.net/1813/44400,,,Life-Cycle Management For Sustainable Infrastructure Systems Using Stochastic Dynamic Programming And Evolutionary Algorithms,,1813/47,,2016-05-29,45576
,,,,,,"Jin, Ye",http://hdl.handle.net/1813/44402,,,Reductive Dechlorination Of Tce By Kb-1Tm -Inoculated Mulch Columns In The Presence Of Various Terminal Electron Acceptors,,1813/47,,2016-05-29,45578
,,,,,,"Ma, Yunfei",http://hdl.handle.net/1813/44403,,,Indoor Locating By Broadband Harmonic Rf Backscatter,,1813/47,,2016-05-29,45579
