dc.date.issued[en_US],dc.publisher,dc.date.issued[],dc.identifier.uri[],dc.title[en],dc.publisher[en_US],dc.date.issued,dc.identifier.uri,id,collection,dc.title[en_US],dc.contributor.author[en_US],dc.title[],dc.contributor.author[],dc.contributor.author,dc.publisher[en]
,,2016-02-01,,,,,http://hdl.handle.net/1813/43726,44889,1813/47,,,An Examination Of Emotion In Social And Cognitive Processes,"DeFraine, William",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43728,44891,1813/47,,,Cupellation At Kea: Investigating Potential Applications Of The Minoan Conical Cup,"Mastandrea, William",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43729,44892,1813/47,,,Hybrid Memories For Energy Efficient Computing Systems,"Yu, Wing-kei",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43732,44895,1813/47,,,The Role Of Local Economic Development Policies In The Promotion Of Sustainable Development,"Zhang, Xue",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43735,44898,1813/47,,,"Chinese Labor Earnings, Economic Sectors, And Individual Characteristics From 2010 To 2012","Shen, Yu",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44272,45448,1813/47,,,Synthesis And Study Of Functionalized Polydimethylsiloxane Block Copolymers: Control Of Surface Properties And Use In Antibiofouling Coatings,"Wenning, Brandon",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44274,45450,1813/47,,,High Mobility Of Sputtered In2Ga2Zno7 (Igzo) Thin Film Transistors (Tfts),"Chung, Chen-Yang",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44277,45453,1813/47,,,"Competing Modes Of Remembrance: Tsunami Commemoration In Takuapa, Thailand","Croteau, Chantal",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44278,45454,1813/47,,,Emotion Regulation And Cognitive Representation Modulate Neural Activation To Risky Gains And Losses,"Chick, Christina",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44281,45457,1813/47,,,Effect Of Host Immunity And Co-Infection On Larval Toxocariasis,"Lee, Che Yu",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44283,45459,1813/47,,,In Observance Of The Everyday: The Concept Of Assent In Pyrrhonian Skepticism,"Roberts, Clifford",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44287,45463,1813/47,,,Network-Structured Error Flattening For Power Grids And Other Real-World Networks,"Ponce, Colin",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44289,45465,1813/47,,,What'S So Funny?: Satire And African American Literature And Culture In The Twenty-First Century,"Morgan, Danielle",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44291,45467,1813/47,,,Sticky-Probe Microrheology,"Huang, Derek",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44292,45468,1813/47,,,Joint Density-Functional Theory For Energetics And Spectroscopy In Complex Aqueous And Nonaqueous Solvents,"Gunceler, Deniz",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44293,45469,1813/47,,,Drug Price Control Policy And Access To Malarial Drugs In India,"Mohapatra, Debi Prasad",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44294,45470,1813/47,,,Training Paradigms For Deep Residual Networks,"Sedra, Daniel",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44299,45475,1813/47,,,Flexible And Efficient Accelerator Architecture For Runtime Monitoring,"Deng, Danny",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44303,45479,1813/47,,,A Quantitative Analysis Of Stone Buildings And Assessment Of The Masonry Labor Market In New York State,"FitzGerald, Edward",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44305,45481,1813/47,,,"Cisco Spawning In Chaumont Bay, Lake Ontario","George, Ellen",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44310,45486,1813/47,,,A Study On The Surface Chemistry Of Lead Chalcogenides Nanocrystals And Patchy Colloidal Particles,"Mera, Hilda",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/44317,45493,1813/47,,,Deep Learning For Robotics,"Lenz, Ian",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44321,45497,1813/47,,,Beyond 'Counting Sheep': Isotopic Approaches To Minoan And Late Cypriot Shepherding,"Leon, Jeffrey",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44322,45498,1813/47,,,"Ecoimmunology Of The Asian Longhorned Beetle, Anoplophora Glabripennis","Fisher, Joanna",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44328,45504,1813/47,,,"Low-Temperature Geothermal Energy: Systems Modeling, Reservoir Simulation, And Economic Analysis","Beckers, Koenraad",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44338,45514,1813/47,,,"Monte Carlo Molecular Simulations To Determine The Isobaric Heat Capacity Of Co2, Methanol, And Their Mixtures Using Thermodynamic Fluctuations In The Isothermal-Isobaric Ensemble And The Grand Canonical Ensemble","Stutzman, Lauren",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44341,45517,1813/47,,,Soil Amendments And Tillage Depth In Matted Row Strawberry Fields And Their Effects On Soil Health Indicator Tests And Yield,"Gannett, Maria",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44344,45520,1813/47,,,A Comprehensive Analytical Approach For Achieving Successful Biodiversity Offsets In Latin America,"Carreras Gamarra, Maria",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44348,45524,1813/47,,,Fabricating Multifunctional Coatings Using Layer-By-Layer Langmuir-Blodgett Processes,"Kim, Mun Sek",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44353,45529,1813/47,,,Single Cell Force Generation And Transmission Within Collagen Matrices,"Hall, Matthew",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44354,45530,1813/47,,,"Consumer Food Preferences: Three Essays On Labeling, Anti-Obesity Policies And Social Presence","Streletskaya, Nadezhda",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44359,45535,1813/47,,,Search For New Superfluid States Of 3He Confined In Coherence Length Sized Nanofabricated Structures,"Zhelev, Nikolay",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44365,45541,1813/47,,,Memory Vs Momentum - Exploring Momentum Strategies With The Hurst Exponent,"Miao, Qisiyu",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44372,45548,1813/47,,,"Race, Untimely Freedom, And The Question Of Leadership In Aimé CéSaire'S Theatre","Ndayizigamiye, Richard",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44373,45549,1813/47,,,State Ownership In Terms Of Transition: Curse Or Blessing. The Cases Of Kazakhstan And China,"Nurgozhayeva, Roza",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44375,45551,1813/47,,,A Study On Synthesis And Characterization Of Thin Polymer/Ceramic Hybrid Film Separators And Metal Oxide Coated Electrodes For Lithium Ion Batteries,"Atluri, Sri Dithya",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44387,45563,1813/47,,,Bayesian Nonparametric Methods In Marketing,"Satyavolu, Saisandeep",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44395,45571,1813/47,,,Prediction-Guided Performance-Energy Trade-Off With Continuous Run-Time Adaptation,"Song, Taejoon",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44400,45576,1813/47,,,Life-Cycle Management For Sustainable Infrastructure Systems Using Stochastic Dynamic Programming And Evolutionary Algorithms,"Deng, Yan",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44402,45578,1813/47,,,Reductive Dechlorination Of Tce By Kb-1Tm -Inoculated Mulch Columns In The Presence Of Various Terminal Electron Acceptors,"Jin, Ye",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44403,45579,1813/47,,,Indoor Locating By Broadband Harmonic Rf Backscatter,"Ma, Yunfei",,
